"","species","body_mass_g","clutch_completion","sex"
"1","Adelie",3750,"Yes","MALE"
"2","Adelie",3800,"Yes","FEMALE"
"3","Adelie",3250,"Yes","FEMALE"
"5","Adelie",3450,"Yes","FEMALE"
"6","Adelie",3650,"Yes","MALE"
"7","Adelie",3625,"No","FEMALE"
"8","Adelie",4675,"No","MALE"
"13","Adelie",3200,"Yes","FEMALE"
"14","Adelie",3800,"Yes","MALE"
"15","Adelie",4400,"Yes","MALE"
"16","Adelie",3700,"Yes","FEMALE"
"17","Adelie",3450,"Yes","FEMALE"
"18","Adelie",4500,"Yes","MALE"
"19","Adelie",3325,"Yes","FEMALE"
"20","Adelie",4200,"Yes","MALE"
"21","Adelie",3400,"Yes","FEMALE"
"22","Adelie",3600,"Yes","MALE"
"23","Adelie",3800,"Yes","FEMALE"
"24","Adelie",3950,"Yes","MALE"
"25","Adelie",3800,"Yes","MALE"
"26","Adelie",3800,"Yes","FEMALE"
"27","Adelie",3550,"Yes","MALE"
"28","Adelie",3200,"Yes","FEMALE"
"29","Adelie",3150,"No","FEMALE"
"30","Adelie",3950,"No","MALE"
"31","Adelie",3250,"Yes","FEMALE"
"32","Adelie",3900,"Yes","MALE"
"33","Adelie",3300,"Yes","FEMALE"
"34","Adelie",3900,"Yes","MALE"
"35","Adelie",3325,"Yes","FEMALE"
"36","Adelie",4150,"Yes","MALE"
"37","Adelie",3950,"Yes","MALE"
"38","Adelie",3550,"Yes","FEMALE"
"39","Adelie",3300,"No","FEMALE"
"40","Adelie",4650,"No","MALE"
"41","Adelie",3150,"Yes","FEMALE"
"42","Adelie",3900,"Yes","MALE"
"43","Adelie",3100,"Yes","FEMALE"
"44","Adelie",4400,"Yes","MALE"
"45","Adelie",3000,"Yes","FEMALE"
"46","Adelie",4600,"Yes","MALE"
"47","Adelie",3425,"Yes","MALE"
"49","Adelie",3450,"Yes","FEMALE"
"50","Adelie",4150,"Yes","MALE"
"51","Adelie",3500,"Yes","FEMALE"
"52","Adelie",4300,"Yes","MALE"
"53","Adelie",3450,"Yes","FEMALE"
"54","Adelie",4050,"Yes","MALE"
"55","Adelie",2900,"Yes","FEMALE"
"56","Adelie",3700,"Yes","MALE"
"57","Adelie",3550,"Yes","FEMALE"
"58","Adelie",3800,"Yes","MALE"
"59","Adelie",2850,"Yes","FEMALE"
"60","Adelie",3750,"Yes","MALE"
"61","Adelie",3150,"Yes","FEMALE"
"62","Adelie",4400,"Yes","MALE"
"63","Adelie",3600,"Yes","FEMALE"
"64","Adelie",4050,"Yes","MALE"
"65","Adelie",2850,"Yes","FEMALE"
"66","Adelie",3950,"Yes","MALE"
"67","Adelie",3350,"Yes","FEMALE"
"68","Adelie",4100,"Yes","MALE"
"69","Adelie",3050,"No","FEMALE"
"70","Adelie",4450,"No","MALE"
"71","Adelie",3600,"Yes","FEMALE"
"72","Adelie",3900,"Yes","MALE"
"73","Adelie",3550,"Yes","FEMALE"
"74","Adelie",4150,"Yes","MALE"
"75","Adelie",3700,"Yes","FEMALE"
"76","Adelie",4250,"Yes","MALE"
"77","Adelie",3700,"Yes","FEMALE"
"78","Adelie",3900,"Yes","MALE"
"79","Adelie",3550,"Yes","FEMALE"
"80","Adelie",4000,"Yes","MALE"
"81","Adelie",3200,"Yes","FEMALE"
"82","Adelie",4700,"Yes","MALE"
"83","Adelie",3800,"Yes","FEMALE"
"84","Adelie",4200,"Yes","MALE"
"85","Adelie",3350,"Yes","FEMALE"
"86","Adelie",3550,"Yes","MALE"
"87","Adelie",3800,"Yes","MALE"
"88","Adelie",3500,"Yes","FEMALE"
"89","Adelie",3950,"Yes","MALE"
"90","Adelie",3600,"Yes","FEMALE"
"91","Adelie",3550,"Yes","FEMALE"
"92","Adelie",4300,"Yes","MALE"
"93","Adelie",3400,"Yes","FEMALE"
"94","Adelie",4450,"Yes","MALE"
"95","Adelie",3300,"Yes","FEMALE"
"96","Adelie",4300,"Yes","MALE"
"97","Adelie",3700,"Yes","FEMALE"
"98","Adelie",4350,"Yes","MALE"
"99","Adelie",2900,"Yes","FEMALE"
"100","Adelie",4100,"Yes","MALE"
"101","Adelie",3725,"Yes","FEMALE"
"102","Adelie",4725,"Yes","MALE"
"103","Adelie",3075,"Yes","FEMALE"
"104","Adelie",4250,"Yes","MALE"
"105","Adelie",2925,"Yes","FEMALE"
"106","Adelie",3550,"Yes","MALE"
"107","Adelie",3750,"Yes","FEMALE"
"108","Adelie",3900,"Yes","MALE"
"109","Adelie",3175,"Yes","FEMALE"
"110","Adelie",4775,"Yes","MALE"
"111","Adelie",3825,"Yes","FEMALE"
"112","Adelie",4600,"Yes","MALE"
